Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
2003,8,95.67181977,91.71417654
2003,9,106.1157687,109.55396
2003,10,88.04379175,78.58598676
2003,11,84.91824073,78.69609964
2003,12,91.73699443,90.34358991
2004,1,96.56646453,88.27759573
2004,2,99.45730061,88.90148508
2004,3,96.78947036,84.3308961
2004,4,94.11528586,79.7269195
2004,5,92.32118143,97.20803838
2004,6,85.34598107,85.2744896
2004,7,87.54419102,88.95650112
2004,8,85.92586842,84.44987825
2004,9,100.0118881,108.5095799
2004,10,105.6951148,118.3414529
2004,11,95.24085576,96.69576749
2004,12,77.59643076,66.53287701
2005,1,73.91847692,66.73432811
2005,2,58.95004856,51.69568735
2005,3,57.55795683,49.30863987
2005,4,74.5659717,78.39587328
2005,5,70.50811873,75.09076519
2005,6,74.5613263,82.00558946
2005,7,68.71645068,71.93954706
2005,8,64.39585953,59.61723244
2005,9,91.40605426,105.7698564
2005,10,76.16368625,79.82999973
2005,11,72.21598468,60.06785223
2005,12,78.04892724,70.02675641
2006,1,79.17534929,75.07923787
2006,2,72.69299034,69.49174528
2006,3,64.22932643,55.00807288
2006,4,79.7615279,81.65172365
2006,5,70.83625709,67.80979905
2006,6,79.49433261,82.58628252
2006,7,80.56230913,84.47445648
2006,8,72.76996354,71.5150949
2006,9,67.06754022,61.75134643
2006,10,63.46447096,55.62951083
2006,11,62.51984672,49.59913099
2006,12,63.37040778,51.03903886
2007,1,79.01967432,74.51002654
2007,2,57.2026196,50.86002527
2007,3,69.88728679,72.52986574
2007,4,62.50170493,59.84139351
2007,5,74.68186845,71.13732015
2007,6,73.29653956,68.75923281
2007,7,59.32397645,44.78275066
2007,8,89.10405125,90.00729662
2007,9,100.744382,109.8926555
2007,10,89.45452955,90.64007585
2007,11,102.4411104,106.5661652
2007,12,108.5437932,116.9908972
2008,1,144.9847254,177.0422066
2008,2,108.1046891,108.3147367
2008,3,111.7123645,114.4745761
2008,4,102.1969044,98.19769865
2008,5,94.28404695,88.67343413
2008,6,94.55675519,89.13688333
2008,7,109.7889763,115.1027243
2008,8,95.87075503,81.16307827
2008,9,187.7403019,238.1718742
2008,10,189.9172898,241.7722778
2008,11,148.8425662,162.713384
2008,12,145.9946994,157.828677
2009,1,171.9462122,184.8178304
2009,2,187.1140268,202.5479667
2009,3,166.9033815,167.9912194
2009,4,131.8561181,107.927248
2009,5,138.8058464,125.9446213
2009,6,130.9334837,112.4726351
2009,7,126.2821534,104.3551071
2009,8,152.5500879,111.1743394
2009,9,145.4443674,99.00963606
2009,10,138.1305467,86.24175958
2009,11,116.1623131,99.77926919
2009,12,121.2210144,108.3960871
2010,1,149.3592767,136.8638568
2010,2,132.7986515,116.7215571
2010,3,137.4700336,124.6875089
2010,4,137.0774037,123.7022049
2010,5,151.1034215,147.7632571
2010,6,140.569163,129.7321983
2010,7,180.0144633,196.9472469
2010,8,147.3090932,127.2281732
2010,9,182.1467151,186.7412481
2010,10,163.4248926,154.7627409
2010,11,179.1355864,175.0442836
2010,12,165.4078472,151.5533295
2011,1,142.1704625,111.4928249
2011,2,145.508897,104.5623701
2011,3,174.354369,153.8417288
2011,4,157.4958827,124.8465874
2011,5,126.1920664,84.5491611
2011,6,158.0886236,139.0378982
2011,7,197.9163576,207.1603073
2011,8,245.1267138,283.6655748
2011,9,204.6297911,214.4261053
2011,10,159.73957,137.8392521
2011,11,166.3390151,143.7145629
